customer_id,gender,age,city,join_date,estimated_salary,is_active_member,churn,product_id,product_type,balance
10016,Male,32,Ganja,2022-10-30,128219,1,0,P213743,Loan,30949.0
10016,Male,32,Ganja,2022-10-30,128219,1,0,P223375,Loan,44798.0
10017,Female,20,Sumqayit,2017-04-17,96174,1,0,P201047,Credit Card,140039.0
10017,Female,20,Sumqayit,2017-04-17,96174,1,0,P201183,Mortgage,16713.0
10017,Female,20,Sumqayit,2017-04-17,96174,1,0,P214721,Loan,40731.0
10017,Female,20,Sumqayit,2017-04-17,96174,1,0,P222502,Mortgage,183818.0
10018,Female,22,Lankaran,2016-08-25,106352,1,0,P203007,Loan,64268.0
10018,Female,22,Lankaran,2016-08-25,106352,1,0,P206206,Mortgage,33384.0
10018,Female,22,Lankaran,2016-08-25,106352,1,0,P206278,Savings,146368.0
10018,Female,22,Lankaran,2016-08-25,106352,1,0,P212321,Savings,69325.0
10018,Female,22,Lankaran,2016-08-25,106352,1,0,P214192,Mortgage,193250.0
10019,Female,40,Sumqayit,2018-04-01,142155,0,0,P201848,Loan,22620.0
10019,Female,40,Sumqayit,2018-04-01,142155,0,0,P216951,Loan,59664.0
10020,Male,54,Lankaran,2021-06-23,40598,1,0,P206079,Credit Card,127489.0
10020,Male,54,Lankaran,2021-06-23,40598,1,0,P216093,Credit Card,10008.0
10021,Female,26,Ganja,2019-01-21,62541,0,0,P211296,Mortgage,87724.0
10021,Female,26,Ganja,2019-01-21,62541,0,0,P214394,Credit Card,99134.0
10021,Female,26,Ganja,2019-01-21,62541,0,0,P223980,Savings,94817.0
10022,Male,32,Lankaran,2024-02-07,30652,1,0,P205178,Credit Card,44157.0
10023,Female,20,Shaki,2023-12-17,36963,0,0,P209008,Loan,106287.0
10023,Female,20,Shaki,2023-12-17,36963,0,0,P215966,Mortgage,120323.0
10023,Female,20,Shaki,2023-12-17,36963,0,0,P217437,Loan,97151.0
10024,Female,46,Baku,2024-11-12,134047,1,0,P200569,Loan,156808.0
10024,Female,46,Baku,2024-11-12,134047,1,0,P205681,Credit Card,108882.0
10024,Female,46,Baku,2024-11-12,134047,1,0,P206145,Loan,96032.0
10024,Female,46,Baku,2024-11-12,134047,1,0,P206678,Mortgage,139751.0
10025,Female,23,Shaki,2019-10-31,52223,1,0,,,
10026,Female,34,Mingachevir,2019-08-26,51024,0,0,P203605,Credit Card,20820.0
10026,Female,34,Mingachevir,2019-08-26,51024,0,0,P205934,Credit Card,165934.0
10026,Female,34,Mingachevir,2019-08-26,51024,0,0,P207500,Savings,184324.0
10026,Female,34,Mingachevir,2019-08-26,51024,0,0,P218592,Credit Card,41095.0
10026,Female,34,Mingachevir,2019-08-26,51024,0,0,P221851,Credit Card,152218.0
10027,Female,43,Shaki,2023-11-11,142538,1,0,P206684,Savings,80398.0
10027,Female,43,Shaki,2023-11-11,142538,1,0,P208167,Savings,106759.0
10028,Female,38,Sumqayit,2015-08-20,23941,1,0,P224186,Credit Card,106138.0
10029,Female,25,Ganja,2015-11-24,93923,0,0,P213088,Loan,23945.0
10029,Female,25,Ganja,2015-11-24,93923,0,0,P224721,Mortgage,70753.0
10030,Female,38,Mingachevir,2021-04-04,94060,0,0,P202114,Mortgage,104144.0
10030,Female,38,Mingachevir,2021-04-04,94060,0,0,P211309,Credit Card,118136.0
10030,Female,38,Mingachevir,2021-04-04,94060,0,0,P219939,Mortgage,71939.0
10031,Male,28,Mingachevir,2018-02-17,121395,1,0,,,
10032,Male,55,Mingachevir,2017-08-07,123022,1,0,P201255,Mortgage,2392.0
10032,Male,55,Mingachevir,2017-08-07,123022,1,0,P204004,Savings,104430.0
10032,Male,55,Mingachevir,2017-08-07,123022,1,0,P204028,Credit Card,5017.0
10032,Male,55,Mingachevir,2017-08-07,123022,1,0,P208051,Mortgage,128202.0
10033,Female,25,Baku,2020-03-01,61617,0,0,P215653,Credit Card,125475.0
10034,Female,59,Lankaran,2023-01-21,110815,1,0,P203222,Credit Card,78151.0
10034,Female,59,Lankaran,2023-01-21,110815,1,0,P207599,Loan,182423.0
10035,Female,41,Sumqayit,2022-04-20,74704,1,0,P205856,Mortgage,154051.0
10036,Male,52,Ganja,2021-04-16,139666,0,1,P200045,Loan,54121.0
10036,Male,52,Ganja,2021-04-16,139666,0,1,P202632,Credit Card,112607.0
10036,Male,52,Ganja,2021-04-16,139666,0,1,P208449,Credit Card,105903.0
10036,Male,52,Ganja,2021-04-16,139666,0,1,P215092,Loan,102169.0
10036,Male,52,Ganja,2021-04-16,139666,0,1,P215446,Loan,47968.0
10036,Male,52,Ganja,2021-04-16,139666,0,1,P216899,Mortgage,131785.0
10036,Male,52,Ganja,2021-04-16,139666,0,1,P219357,Loan,47316.0
10036,Male,52,Ganja,2021-04-16,139666,0,1,P223564,Savings,199352.0
10037,Female,31,Baku,2018-09-21,46025,1,0,P203836,Mortgage,105273.0
10037,Female,31,Baku,2018-09-21,46025,1,0,P220072,Credit Card,54993.0
10037,Female,31,Baku,2018-09-21,46025,1,0,P221998,Loan,173112.0
10038,Male,31,Shaki,2018-07-31,103172,1,0,P222131,Savings,72125.0
10039,Male,27,Ganja,2015-07-17,127019,0,1,,,
10040,Male,29,Mingachevir,2016-02-20,63224,1,0,P212341,Mortgage,111607.0
10040,Male,29,Mingachevir,2016-02-20,63224,1,0,P213238,Mortgage,187067.0
10040,Male,29,Mingachevir,2016-02-20,63224,1,0,P214083,Loan,29984.0
10040,Male,29,Mingachevir,2016-02-20,63224,1,0,P217923,Loan,67340.0
10040,Male,29,Mingachevir,2016-02-20,63224,1,0,P223317,Credit Card,24838.0
10041,Male,55,Ganja,2022-08-11,33277,1,0,P216584,Credit Card,181210.0
10042,Male,61,Ganja,2018-11-19,68718,1,0,P204895,Mortgage,166148.0
10042,Male,61,Ganja,2018-11-19,68718,1,0,P206353,Mortgage,167112.0
10043,Female,63,Shaki,2017-07-26,120726,1,0,P218192,Mortgage,121945.0
10044,Female,51,Lankaran,2023-10-28,60995,1,1,P203877,Mortgage,38037.0
10044,Female,51,Lankaran,2023-10-28,60995,1,1,P209912,Credit Card,48427.0
10044,Female,51,Lankaran,2023-10-28,60995,1,1,P218099,Credit Card,70417.0
10045,Female,58,Sumqayit,2024-02-19,127271,0,0,P200337,Savings,139565.0
10045,Female,58,Sumqayit,2024-02-19,127271,0,0,P200797,Credit Card,40829.0
10045,Female,58,Sumqayit,2024-02-19,127271,0,0,P208463,Loan,196865.0
10046,Female,27,Mingachevir,2018-05-28,134715,1,1,P207113,Savings,173886.0
10046,Female,27,Mingachevir,2018-05-28,134715,1,1,P211984,Savings,28020.0
10046,Female,27,Mingachevir,2018-05-28,134715,1,1,P215191,Savings,190352.0
10047,Female,34,Lankaran,2018-05-24,27539,1,0,P216771,Loan,96241.0
10048,Male,34,Baku,2018-08-31,52853,0,1,P206424,Credit Card,146389.0
10048,Male,34,Baku,2018-08-31,52853,0,1,P223631,Credit Card,78499.0
10049,Female,20,Mingachevir,2019-08-19,46811,1,0,P222286,Savings,56737.0
10049,Female,20,Mingachevir,2019-08-19,46811,1,0,P223026,Credit Card,53889.0
10049,Female,20,Mingachevir,2019-08-19,46811,1,0,P224098,Loan,163391.0
10050,Female,48,Sumqayit,2015-08-04,112464,1,1,,,
10051,Male,68,Baku,2024-04-29,26909,1,0,P204617,Credit Card,60386.0
10051,Male,68,Baku,2024-04-29,26909,1,0,P218585,Credit Card,73784.0
10052,Female,18,Shaki,2024-05-23,113605,0,0,P222630,Mortgage,182502.0
10053,Male,29,Lankaran,2019-07-08,149103,1,0,P209932,Mortgage,165649.0
10053,Male,29,Lankaran,2019-07-08,149103,1,0,P220102,Savings,107349.0
10054,Female,56,Mingachevir,2018-03-30,73433,0,0,P200096,Savings,8725.0
10054,Female,56,Mingachevir,2018-03-30,73433,0,0,P210128,Loan,19381.0
10054,Female,56,Mingachevir,2018-03-30,73433,0,0,P214264,Savings,14971.0
10054,Female,56,Mingachevir,2018-03-30,73433,0,0,P216251,Credit Card,142959.0
10054,Female,56,Mingachevir,2018-03-30,73433,0,0,P218837,Loan,151058.0
10054,Female,56,Mingachevir,2018-03-30,73433,0,0,P221969,Mortgage,192639.0
10054,Female,56,Mingachevir,2018-03-30,73433,0,0,P223714,Credit Card,82100.0
10055,Male,21,Ganja,2022-11-02,66084,0,0,P204141,Mortgage,173021.0
10055,Male,21,Ganja,2022-11-02,66084,0,0,P224128,Savings,29245.0
10056,Female,59,Sumqayit,2016-09-01,122957,1,0,,,
10057,Female,30,Mingachevir,2022-01-02,93569,0,0,P208670,Savings,141839.0
10057,Female,30,Mingachevir,2022-01-02,93569,0,0,P214030,Mortgage,137661.0
10057,Female,30,Mingachevir,2022-01-02,93569,0,0,P217774,Mortgage,11750.0
10058,Male,51,Ganja,2017-07-06,76816,0,0,P200079,Savings,29308.0
10058,Male,51,Ganja,2017-07-06,76816,0,0,P218575,Mortgage,1006.0
10058,Male,51,Ganja,2017-07-06,76816,0,0,P221293,Savings,86673.0
10059,Male,59,Mingachevir,2015-06-06,30748,0,0,P212100,Credit Card,92090.0
10060,Male,38,Baku,2015-06-11,132229,0,0,P202192,Credit Card,31995.0
10060,Male,38,Baku,2015-06-11,132229,0,0,P204696,Mortgage,187726.0
10060,Male,38,Baku,2015-06-11,132229,0,0,P223213,Loan,54231.0
10061,Male,39,Ganja,2015-02-11,90602,1,0,P200764,Savings,172379.0
10061,Male,39,Ganja,2015-02-11,90602,1,0,P208332,Credit Card,193931.0
10061,Male,39,Ganja,2015-02-11,90602,1,0,P208565,Loan,133942.0
10061,Male,39,Ganja,2015-02-11,90602,1,0,P214343,Savings,109979.0
10061,Male,39,Ganja,2015-02-11,90602,1,0,P221692,Savings,81962.0
10061,Male,39,Ganja,2015-02-11,90602,1,0,P221879,Mortgage,156454.0
10062,Male,21,Ganja,2023-11-26,82465,1,0,P205456,Mortgage,150771.0
10062,Male,21,Ganja,2023-11-26,82465,1,0,P206138,Mortgage,192545.0
10062,Male,21,Ganja,2023-11-26,82465,1,0,P214084,Mortgage,117196.0
10063,Male,35,Mingachevir,2021-06-08,130808,1,0,P202311,Loan,13294.0
10063,Male,35,Mingachevir,2021-06-08,130808,1,0,P211866,Credit Card,138408.0
10064,Male,22,Shaki,2018-09-15,134200,1,0,,,
10065,Male,36,Shaki,2019-05-06,69408,0,1,P208625,Loan,108892.0
10065,Male,36,Shaki,2019-05-06,69408,0,1,P214538,Savings,33158.0
10065,Male,36,Shaki,2019-05-06,69408,0,1,P217619,Credit Card,98652.0
10065,Male,36,Shaki,2019-05-06,69408,0,1,P217978,Savings,94810.0
10066,Female,19,Lankaran,2023-05-20,31998,1,0,P223123,Mortgage,51495.0
10066,Female,19,Lankaran,2023-05-20,31998,1,0,P223341,Credit Card,85373.0
10066,Female,19,Lankaran,2023-05-20,31998,1,0,P224182,Savings,53028.0
10067,Female,29,Baku,2022-09-12,33764,1,0,P210718,Savings,158738.0
10067,Female,29,Baku,2022-09-12,33764,1,0,P219094,Savings,13815.0
10067,Female,29,Baku,2022-09-12,33764,1,0,P221229,Credit Card,140563.0
10067,Female,29,Baku,2022-09-12,33764,1,0,P223451,Mortgage,62847.0
10068,Male,34,Shaki,2018-12-23,119751,0,0,P208055,Savings,12070.0
10068,Male,34,Shaki,2018-12-23,119751,0,0,P214639,Savings,40369.0
10069,Female,27,Mingachevir,2024-05-14,65379,1,0,P205212,Mortgage,133436.0
10069,Female,27,Mingachevir,2024-05-14,65379,1,0,P211165,Mortgage,117430.0
10069,Female,27,Mingachevir,2024-05-14,65379,1,0,P215205,Credit Card,126757.0
10069,Female,27,Mingachevir,2024-05-14,65379,1,0,P219167,Mortgage,80185.0
10070,Female,51,Shaki,2015-04-30,101394,0,0,,,
10071,Female,23,Lankaran,2018-01-03,124004,1,0,P201884,Credit Card,53881.0
10071,Female,23,Lankaran,2018-01-03,124004,1,0,P215796,Loan,147038.0
10071,Female,23,Lankaran,2018-01-03,124004,1,0,P220459,Credit Card,127854.0
10072,Female,25,Sumqayit,2020-07-30,79588,1,0,P201061,Savings,31451.0
10072,Female,25,Sumqayit,2020-07-30,79588,1,0,P222741,Savings,115267.0
10073,Male,68,Lankaran,2022-06-14,139287,1,0,P213329,Loan,157977.0
10073,Male,68,Lankaran,2022-06-14,139287,1,0,P219284,Credit Card,143537.0
10074,Female,28,Ganja,2022-06-01,121647,0,0,P213028,Loan,161335.0
10075,Male,29,Ganja,2015-05-03,102613,1,0,P204010,Loan,139262.0
10075,Male,29,Ganja,2015-05-03,102613,1,0,P204355,Loan,163100.0
10075,Male,29,Ganja,2015-05-03,102613,1,0,P205270,Loan,27909.0
10075,Male,29,Ganja,2015-05-03,102613,1,0,P212963,Savings,176190.0
10075,Male,29,Ganja,2015-05-03,102613,1,0,P217588,Mortgage,171899.0
10075,Male,29,Ganja,2015-05-03,102613,1,0,P222877,Loan,183047.0
10075,Male,29,Ganja,2015-05-03,102613,1,0,P223802,Credit Card,72401.0
10076,Female,26,Shaki,2022-05-24,82398,1,0,,,
10077,Female,19,Shaki,2023-11-28,95793,0,1,P207709,Savings,103358.0
10077,Female,19,Shaki,2023-11-28,95793,0,1,P217115,Mortgage,175069.0
10078,Female,25,Lankaran,2023-02-16,67210,1,1,P206668,Credit Card,31850.0
10078,Female,25,Lankaran,2023-02-16,67210,1,1,P210790,Savings,55941.0
10079,Male,28,Lankaran,2023-05-20,64560,1,1,P202318,Savings,30544.0
10079,Male,28,Lankaran,2023-05-20,64560,1,1,P211993,Savings,59396.0
10079,Male,28,Lankaran,2023-05-20,64560,1,1,P214418,Mortgage,10873.0
10079,Male,28,Lankaran,2023-05-20,64560,1,1,P215063,Mortgage,62670.0
10079,Male,28,Lankaran,2023-05-20,64560,1,1,P219680,Loan,1208.0
10079,Male,28,Lankaran,2023-05-20,64560,1,1,P219991,Loan,108417.0
10080,Female,53,Mingachevir,2017-02-27,130716,0,1,P207408,Savings,67315.0
10080,Female,53,Mingachevir,2017-02-27,130716,0,1,P221110,Mortgage,170740.0
10080,Female,53,Mingachevir,2017-02-27,130716,0,1,P221184,Loan,83912.0
10081,Male,27,Baku,2015-09-14,143362,0,0,P200099,Credit Card,178414.0
10081,Male,27,Baku,2015-09-14,143362,0,0,P223742,Mortgage,21533.0
10082,Female,38,Mingachevir,2020-02-04,89201,1,0,P208900,Loan,83939.0
10082,Female,38,Mingachevir,2020-02-04,89201,1,0,P210235,Mortgage,177940.0
10082,Female,38,Mingachevir,2020-02-04,89201,1,0,P215915,Credit Card,164563.0
10082,Female,38,Mingachevir,2020-02-04,89201,1,0,P223412,Credit Card,73048.0
10083,Male,37,Ganja,2022-09-05,145955,0,0,P204372,Loan,153573.0
10083,Male,37,Ganja,2022-09-05,145955,0,0,P213203,Credit Card,170744.0
10084,Female,65,Mingachevir,2022-03-30,120978,0,0,P208575,Loan,174923.0
10084,Female,65,Mingachevir,2022-03-30,120978,0,0,P224811,Credit Card,9333.0
10085,Male,25,Lankaran,2018-07-16,128894,0,1,P208852,Credit Card,106293.0
10085,Male,25,Lankaran,2018-07-16,128894,0,1,P209007,Savings,151485.0
10085,Male,25,Lankaran,2018-07-16,128894,0,1,P210067,Loan,34959.0
10085,Male,25,Lankaran,2018-07-16,128894,0,1,P215772,Loan,56729.0
10085,Male,25,Lankaran,2018-07-16,128894,0,1,P217805,Credit Card,198569.0
10086,Male,53,Mingachevir,2024-10-04,36734,1,0,P222871,Credit Card,27129.0
10087,Female,46,Sumqayit,2023-11-26,94376,1,0,P202494,Savings,39528.0
10087,Female,46,Sumqayit,2023-11-26,94376,1,0,P211574,Loan,49779.0
10087,Female,46,Sumqayit,2023-11-26,94376,1,0,P214917,Credit Card,177775.0
10087,Female,46,Sumqayit,2023-11-26,94376,1,0,P218466,Savings,135960.0
10087,Female,46,Sumqayit,2023-11-26,94376,1,0,P220319,Credit Card,179983.0
10088,Male,59,Baku,2022-10-09,97598,0,0,P216100,Loan,55274.0
10089,Female,29,Lankaran,2018-03-18,92580,0,0,,,
10090,Female,31,Shaki,2024-10-29,143107,1,0,P211926,Savings,81345.0
10090,Female,31,Shaki,2024-10-29,143107,1,0,P212860,Savings,55753.0
10090,Female,31,Shaki,2024-10-29,143107,1,0,P217290,Mortgage,175904.0
10091,Female,65,Mingachevir,2018-03-17,22063,0,0,P221260,Mortgage,64708.0
10092,Female,67,Lankaran,2016-11-10,42313,0,1,P201159,Savings,133162.0
10092,Female,67,Lankaran,2016-11-10,42313,0,1,P203927,Credit Card,19634.0
10092,Female,67,Lankaran,2016-11-10,42313,0,1,P211940,Mortgage,103690.0
10092,Female,67,Lankaran,2016-11-10,42313,0,1,P217831,Mortgage,40386.0
10092,Female,67,Lankaran,2016-11-10,42313,0,1,P222047,Mortgage,33064.0
10092,Female,67,Lankaran,2016-11-10,42313,0,1,P222506,Mortgage,102582.0
10093,Female,38,Shaki,2023-06-08,143304,1,0,P213646,Savings,134147.0
10093,Female,38,Shaki,2023-06-08,143304,1,0,P223533,Loan,111919.0
10094,Female,39,Shaki,2018-04-16,47087,1,0,P207624,Savings,118964.0
10094,Female,39,Shaki,2018-04-16,47087,1,0,P211967,Loan,173158.0
10094,Female,39,Shaki,2018-04-16,47087,1,0,P221829,Credit Card,161284.0
10095,Female,38,Ganja,2022-10-14,65779,1,0,P218461,Loan,95264.0
10095,Female,38,Ganja,2022-10-14,65779,1,0,P221529,Savings,159570.0
10096,Female,61,Ganja,2024-06-28,60181,0,0,P203388,Mortgage,36960.0
10097,Female,67,Lankaran,2016-08-30,38205,0,0,P207433,Loan,56811.0
10097,Female,67,Lankaran,2016-08-30,38205,0,0,P221330,Credit Card,15585.0
10097,Female,67,Lankaran,2016-08-30,38205,0,0,P224835,Credit Card,183916.0
10098,Female,47,Lankaran,2015-11-27,139577,0,0,P211495,Mortgage,49341.0
10099,Female,56,Sumqayit,2020-10-04,32464,1,0,P200336,Loan,130016.0
10099,Female,56,Sumqayit,2020-10-04,32464,1,0,P219137,Mortgage,31599.0
10100,Male,37,Baku,2018-05-15,129086,0,0,P204928,Loan,77823.0
10100,Male,37,Baku,2018-05-15,129086,0,0,P208636,Savings,142359.0
10100,Male,37,Baku,2018-05-15,129086,0,0,P214671,Credit Card,28670.0
10100,Male,37,Baku,2018-05-15,129086,0,0,P221348,Loan,101826.0
10100,Male,37,Baku,2018-05-15,129086,0,0,P223068,Mortgage,156264.0
10101,Male,41,Baku,2020-11-22,47132,1,0,P214371,Loan,129817.0
10102,Female,40,Lankaran,2016-06-30,70737,1,0,,,
10103,Female,24,Ganja,2017-03-03,128174,0,1,P210387,Mortgage,148323.0
10103,Female,24,Ganja,2017-03-03,128174,0,1,P213122,Mortgage,54663.0
10103,Female,24,Ganja,2017-03-03,128174,0,1,P224346,Savings,25992.0
10104,Female,26,Mingachevir,2020-03-19,122963,1,0,P212447,Savings,46673.0
10104,Female,26,Mingachevir,2020-03-19,122963,1,0,P216653,Savings,166329.0
10105,Female,18,Sumqayit,2018-10-10,120584,0,0,P202173,Credit Card,26.0
10106,Female,43,Baku,2019-08-10,89285,0,1,P202413,Credit Card,18478.0
10106,Female,43,Baku,2019-08-10,89285,0,1,P218535,Mortgage,187174.0
10107,Female,55,Lankaran,2016-05-03,84549,1,0,P208260,Savings,27756.0
10108,Female,55,Ganja,2019-12-28,55306,0,0,P201060,Mortgage,148195.0
10108,Female,55,Ganja,2019-12-28,55306,0,0,P203128,Savings,87993.0
10108,Female,55,Ganja,2019-12-28,55306,0,0,P210267,Loan,36408.0
10109,Female,61,Ganja,2019-03-07,45592,1,0,P204412,Credit Card,87973.0
10109,Female,61,Ganja,2019-03-07,45592,1,0,P209735,Loan,7416.0
10109,Female,61,Ganja,2019-03-07,45592,1,0,P221418,Credit Card,113392.0
10110,Male,39,Ganja,2023-07-19,135131,1,1,P200841,Credit Card,166653.0
10110,Male,39,Ganja,2023-07-19,135131,1,1,P224968,Savings,118711.0
10111,Female,61,Mingachevir,2023-08-25,103987,1,1,P220880,Loan,178720.0
10112,Male,27,Shaki,2021-06-08,113794,0,0,P202852,Credit Card,85007.0
10113,Female,23,Mingachevir,2023-05-31,64758,0,0,P202355,Mortgage,180212.0
10113,Female,23,Mingachevir,2023-05-31,64758,0,0,P204441,Savings,23775.0
10113,Female,23,Mingachevir,2023-05-31,64758,0,0,P213173,Mortgage,65546.0
10113,Female,23,Mingachevir,2023-05-31,64758,0,0,P215654,Loan,134897.0
10114,Female,34,Ganja,2024-06-14,146507,0,0,P205613,Mortgage,10586.0
10114,Female,34,Ganja,2024-06-14,146507,0,0,P212967,Savings,190706.0
10114,Female,34,Ganja,2024-06-14,146507,0,0,P220220,Credit Card,88823.0
10115,Male,68,Lankaran,2016-10-11,142990,1,1,P201472,Credit Card,48559.0
10115,Male,68,Lankaran,2016-10-11,142990,1,1,P210348,Savings,90052.0
10115,Male,68,Lankaran,2016-10-11,142990,1,1,P220339,Loan,107319.0
10116,Female,67,Sumqayit,2016-10-09,120838,1,0,P219886,Credit Card,117162.0
10117,Male,55,Mingachevir,2018-10-17,118392,0,1,P201196,Loan,72445.0
10117,Male,55,Mingachevir,2018-10-17,118392,0,1,P201909,Mortgage,139197.0
10117,Male,55,Mingachevir,2018-10-17,118392,0,1,P206879,Credit Card,174233.0
10117,Male,55,Mingachevir,2018-10-17,118392,0,1,P219665,Loan,76870.0
10118,Female,41,Lankaran,2016-01-16,138078,1,0,P205993,Mortgage,58743.0
10118,Female,41,Lankaran,2016-01-16,138078,1,0,P210931,Loan,113495.0
10119,Female,68,Ganja,2021-01-18,107157,0,0,P208047,Mortgage,104775.0
10120,Male,27,Sumqayit,2020-08-28,26577,0,0,P205124,Loan,27698.0
10120,Male,27,Sumqayit,2020-08-28,26577,0,0,P223685,Savings,31268.0
10121,Female,25,Baku,2023-04-10,136629,0,0,P216595,Savings,31609.0
10121,Female,25,Baku,2023-04-10,136629,0,0,P219731,Savings,72814.0
10122,Male,38,Baku,2020-02-07,105230,0,0,P204836,Credit Card,106291.0
10122,Male,38,Baku,2020-02-07,105230,0,0,P212558,Mortgage,140266.0
10122,Male,38,Baku,2020-02-07,105230,0,0,P214916,Savings,45361.0
10122,Male,38,Baku,2020-02-07,105230,0,0,P216056,Loan,139028.0
10122,Male,38,Baku,2020-02-07,105230,0,0,P218050,Credit Card,191957.0
10122,Male,38,Baku,2020-02-07,105230,0,0,P222596,Credit Card,13808.0
10123,Female,23,Lankaran,2021-04-09,28263,1,0,P210716,Credit Card,111855.0
10123,Female,23,Lankaran,2021-04-09,28263,1,0,P222013,Credit Card,159838.0
10124,Male,38,Sumqayit,2015-05-09,102741,0,0,P205342,Savings,36891.0
10124,Male,38,Sumqayit,2015-05-09,102741,0,0,P210584,Loan,93825.0
10124,Male,38,Sumqayit,2015-05-09,102741,0,0,P216007,Mortgage,90004.0
10124,Male,38,Sumqayit,2015-05-09,102741,0,0,P216108,Credit Card,166123.0
10124,Male,38,Sumqayit,2015-05-09,102741,0,0,P224234,Loan,133665.0
10125,Male,56,Lankaran,2018-04-14,28072,1,0,P202621,Credit Card,105363.0
10125,Male,56,Lankaran,2018-04-14,28072,1,0,P206268,Credit Card,143661.0
10125,Male,56,Lankaran,2018-04-14,28072,1,0,P208153,Savings,13780.0
10125,Male,56,Lankaran,2018-04-14,28072,1,0,P219635,Savings,78616.0
10126,Female,41,Sumqayit,2016-02-13,80814,1,0,P215549,Mortgage,161595.0
10126,Female,41,Sumqayit,2016-02-13,80814,1,0,P220208,Loan,85185.0
10127,Female,50,Sumqayit,2017-03-02,135503,0,0,P201925,Mortgage,75202.0
10128,Male,35,Lankaran,2023-03-10,143283,0,0,P214143,Mortgage,42369.0
10128,Male,35,Lankaran,2023-03-10,143283,0,0,P215684,Mortgage,142728.0
10128,Male,35,Lankaran,2023-03-10,143283,0,0,P224597,Mortgage,154827.0
10129,Female,45,Sumqayit,2018-01-12,136386,1,0,P211823,Mortgage,4943.0
10129,Female,45,Sumqayit,2018-01-12,136386,1,0,P222891,Loan,180199.0
10129,Female,45,Sumqayit,2018-01-12,136386,1,0,P224291,Savings,112182.0
10130,Female,69,Mingachevir,2024-06-09,65306,0,0,,,
10131,Female,49,Ganja,2015-08-10,129412,1,0,P215789,Loan,86488.0
10132,Male,29,Sumqayit,2024-04-19,125666,1,0,P200403,Credit Card,195121.0
10132,Male,29,Sumqayit,2024-04-19,125666,1,0,P211885,Savings,23417.0
10132,Male,29,Sumqayit,2024-04-19,125666,1,0,P217007,Loan,103683.0
10132,Male,29,Sumqayit,2024-04-19,125666,1,0,P218697,Mortgage,137200.0
10133,Male,65,Mingachevir,2024-08-23,128538,1,0,P208052,Loan,66193.0
